PropertyName	Address1	Address2	City	State	Zip	Latitude	Longitude	Phone	Website
BB&T Bank (West Main)	401 W Main St #100		 Louisville	KY	40202	38.2571760000	-85.7570410000	(502) 562-5401	http://www.bbt.com/
BB&T Bank (Bardstown)	1339 Bardstown Road		 Louisville	KY	40204	38.2346632000	-85.7138786000	(502) 451-1082	http://www.bbt.com/
BB&T Bank (St.Matthews)	3747 Lexington Road		 Louisville	KY	40207	38.2528074000	-85.6577343000	(502) 891-2667	http://www.bbt.com/
BB&T Bank (St.Matthews)	4507 Shelbyville Road		 Louisville	KY	40207	38.2512090000	-85.6308420000	(502) 891-2660	http://www.bbt.com/
BB&T Bank (Bluegrass Parkway)	11490 Bluegrass Parkway		 Louisville	KY	40299	38.2184578000	-85.5421875000	(800) 550-1274	http://www.bbt.com/
BB&T Bank (Bashford Manor)	3534 Bardstown Road		 Louisville	KY	40218	38.2006595000	-85.6635132000	(502) 452-6595	http://www.bbt.com/
BB&T Bank Insurance Services	2600 Eastpoint Parkway		 Louisville	KY	40223	38.2845030000	-85.5086710000	(502) 489-5900	http://www.bbt.com/
BB&T Bank (Springhurst)	9510 Brownsboro Road		 Louisville	KY	40241	38.3073630000	-85.5741550000	(502) 412-0416	http://www.bbt.com/
BB&T Bank (Dixie)	5110 Dixie Highway		 Louisville	KY	40216	38.1677080000	-85.8298600000	(502) 449-7340	http://www.bbt.com/
BB&T Bank (Park Place)	9050 Dixie Highway		 Louisville	KY	40258	38.1245800000	-85.8533829000	(502) 933-4024	http://www.bbt.com/
BB&T Bank (Southside)	7111 Southside Drive		 Louisville	KY	40214	38.1528149000	-85.7647010000	(502) 363-1535	http://www.bbt.com/
BB&T Bank (Russell)	2501 W Broadway		 Louisville	KY	40211	38.2498190000	-85.7934949000	(502)772-1025	http://www.bbt.com/
BB&T Bank (Algonquin)	3140 Wilson Avenue		 Louisville	KY	40211	38.2246300000	-85.8087010000	(502)772-0131	http://www.bbt.com/
BB&T Bank (Taylor)	3450 Taylor Boulevard		 Louisville	KY	40215	38.1974010000	-85.7833030000	(502)363-1544	http://www.bbt.com/
BB&T Bank (Jeffersonville)	2705 E 10th Street		 Jeffersonville	IN	47130	38.3171234000	-85.7158106000	(812)704-1240	http://www.bbt.com/
BB&T Bank (Preston)	5319 Preston Highway		 Louisville	KY	40213	38.1712380000	-85.7085759000	(502)810-0434	http://www.bbt.com/
BB&T Bank (New Albany)	4210 Charlestown Road		 New Albany	IN	47160	38.3498570000	-85.7952550000	(812)949-9909	http://www.bbt.com/
BB&T Bank (Brownsboro)	4908 U.S. 42		 Louisville	KY	40222	38.2814440000	-85.6340260000	(502) 412-0171	http://www.bbt.com/
