long,lat,order,hole,piece,group,id
-94.408726,35.798214,1,FALSE,1,Alabama.1,Alabama
-91.685852,34.512972,2,FALSE,1,Alabama.1,Alabama
-91.685852,31.882459,3,FALSE,1,Alabama.1,Alabama
-94.408726,30.53798,4,FALSE,1,Alabama.1,Alabama
-97.131599,31.882459,5,FALSE,1,Alabama.1,Alabama
-97.131599,34.512972,6,FALSE,1,Alabama.1,Alabama
-94.408726,35.798214,7,FALSE,1,Alabama.1,Alabama
-132.528955,55.313204,8,FALSE,1,Alaska.1,Alaska
-129.806081,54.408434,9,FALSE,1,Alaska.1,Alaska
-129.806081,52.537442,10,FALSE,1,Alaska.1,Alaska
-132.528955,51.57081,11,FALSE,1,Alaska.1,Alaska
-135.251828,52.537442,12,FALSE,1,Alaska.1,Alaska
-135.251828,54.408434,13,FALSE,1,Alaska.1,Alaska
-132.528955,55.313204,14,FALSE,1,Alaska.1,Alaska
-116.191714,35.798214,15,FALSE,1,Arizona.1,Arizona
-113.46884,34.512972,16,FALSE,1,Arizona.1,Arizona
-113.46884,31.882459,17,FALSE,1,Arizona.1,Arizona
-116.191714,30.53798,18,FALSE,1,Arizona.1,Arizona
-118.914587,31.882459,19,FALSE,1,Arizona.1,Arizona
-118.914587,34.512972,20,FALSE,1,Arizona.1,Arizona
-116.191714,35.798214,21,FALSE,1,Arizona.1,Arizona
-102.577346,39.530104,22,FALSE,1,Arkansas.1,Arkansas
-99.854473,38.307039,23,FALSE,1,Arkansas.1,Arkansas
-99.854473,35.798214,24,FALSE,1,Arkansas.1,Arkansas
-102.577346,34.512972,25,FALSE,1,Arkansas.1,Arkansas
-105.30022,35.798214,26,FALSE,1,Arkansas.1,Arkansas
-105.30022,38.307039,27,FALSE,1,Arkansas.1,Arkansas
-102.577346,39.530104,28,FALSE,1,Arkansas.1,Arkansas
-124.360334,39.530104,29,FALSE,1,California.1,California
-121.637461,38.307039,30,FALSE,1,California.1,California
-121.637461,35.798214,31,FALSE,1,California.1,California
-124.360334,34.512972,32,FALSE,1,California.1,California
-127.083208,35.798214,33,FALSE,1,California.1,California
-127.083208,38.307039,34,FALSE,1,California.1,California
-124.360334,39.530104,35,FALSE,1,California.1,California
-116.191714,43.071698,36,FALSE,1,Colorado.1,Colorado
-113.46884,41.912567,37,FALSE,1,Colorado.1,Colorado
-113.46884,39.530104,38,FALSE,1,Colorado.1,Colorado
-116.191714,38.307039,39,FALSE,1,Colorado.1,Colorado
-118.914587,39.530104,40,FALSE,1,Colorado.1,Colorado
-118.914587,41.912567,41,FALSE,1,Colorado.1,Colorado
-116.191714,43.071698,42,FALSE,1,Colorado.1,Colorado
-75.348611,46.419873,43,FALSE,1,Connecticut.1,Connecticut
-72.625738,45.325375,44,FALSE,1,Connecticut.1,Connecticut
-72.625738,43.071698,45,FALSE,1,Connecticut.1,Connecticut
-75.348611,41.912567,46,FALSE,1,Connecticut.1,Connecticut
-78.071485,43.071698,47,FALSE,1,Connecticut.1,Connecticut
-78.071485,45.325375,48,FALSE,1,Connecticut.1,Connecticut
-75.348611,46.419873,49,FALSE,1,Connecticut.1,Connecticut
-78.071485,43.071698,50,FALSE,1,Delaware.1,Delaware
-75.348611,41.912567,51,FALSE,1,Delaware.1,Delaware
-75.348611,39.530104,52,FALSE,1,Delaware.1,Delaware
-78.071485,38.307039,53,FALSE,1,Delaware.1,Delaware
-80.794358,39.530104,54,FALSE,1,Delaware.1,Delaware
-80.794358,41.912567,55,FALSE,1,Delaware.1,Delaware
-78.071485,43.071698,56,FALSE,1,Delaware.1,Delaware
-80.794358,39.530104,57,FALSE,1,District of Columbia.1,District of Columbia
-78.071485,38.307039,58,FALSE,1,District of Columbia.1,District of Columbia
-78.071485,35.798214,59,FALSE,1,District of Columbia.1,District of Columbia
-80.794358,34.512972,60,FALSE,1,District of Columbia.1,District of Columbia
-83.517232,35.798214,61,FALSE,1,District of Columbia.1,District of Columbia
-83.517232,38.307039,62,FALSE,1,District of Columbia.1,District of Columbia
-80.794358,39.530104,63,FALSE,1,District of Columbia.1,District of Columbia
-91.685852,31.882459,64,FALSE,1,Florida.1,Florida
-88.962979,30.53798,65,FALSE,1,Florida.1,Florida
-88.962979,27.792925,66,FALSE,1,Florida.1,Florida
-91.685852,26.393432,67,FALSE,1,Florida.1,Florida
-94.408726,27.792925,68,FALSE,1,Florida.1,Florida
-94.408726,30.53798,69,FALSE,1,Florida.1,Florida
-91.685852,31.882459,70,FALSE,1,Florida.1,Florida
-88.962979,35.798214,71,FALSE,1,Georgia.1,Georgia
-86.240105,34.512972,72,FALSE,1,Georgia.1,Georgia
-86.240105,31.882459,73,FALSE,1,Georgia.1,Georgia
-88.962979,30.53798,74,FALSE,1,Georgia.1,Georgia
-91.685852,31.882459,75,FALSE,1,Georgia.1,Georgia
-91.685852,34.512972,76,FALSE,1,Georgia.1,Georgia
-88.962979,35.798214,77,FALSE,1,Georgia.1,Georgia
-135.251828,31.882459,78,FALSE,1,Hawaii.1,Hawaii
-132.528955,30.53798,79,FALSE,1,Hawaii.1,Hawaii
-132.528955,27.792925,80,FALSE,1,Hawaii.1,Hawaii
-135.251828,26.393432,81,FALSE,1,Hawaii.1,Hawaii
-137.974702,27.792925,82,FALSE,1,Hawaii.1,Hawaii
-137.974702,30.53798,83,FALSE,1,Hawaii.1,Hawaii
-135.251828,31.882459,84,FALSE,1,Hawaii.1,Hawaii
-124.360334,46.419873,85,FALSE,1,Idaho.1,Idaho
-121.637461,45.325375,86,FALSE,1,Idaho.1,Idaho
-121.637461,43.071698,87,FALSE,1,Idaho.1,Idaho
-124.360334,41.912567,88,FALSE,1,Idaho.1,Idaho
-127.083208,43.071698,89,FALSE,1,Idaho.1,Idaho
-127.083208,45.325375,90,FALSE,1,Idaho.1,Idaho
-124.360334,46.419873,91,FALSE,1,Idaho.1,Idaho
-102.577346,46.419873,92,FALSE,1,Illinois.1,Illinois
-99.854473,45.325375,93,FALSE,1,Illinois.1,Illinois
-99.854473,43.071698,94,FALSE,1,Illinois.1,Illinois
-102.577346,41.912567,95,FALSE,1,Illinois.1,Illinois
-105.30022,43.071698,96,FALSE,1,Illinois.1,Illinois
-105.30022,45.325375,97,FALSE,1,Illinois.1,Illinois
-102.577346,46.419873,98,FALSE,1,Illinois.1,Illinois
-97.131599,46.419873,99,FALSE,1,Indiana.1,Indiana
-94.408726,45.325375,100,FALSE,1,Indiana.1,Indiana
-94.408726,43.071698,101,FALSE,1,Indiana.1,Indiana
-97.131599,41.912567,102,FALSE,1,Indiana.1,Indiana
-99.854473,43.071698,103,FALSE,1,Indiana.1,Indiana
-99.854473,45.325375,104,FALSE,1,Indiana.1,Indiana
-97.131599,46.419873,105,FALSE,1,Indiana.1,Indiana
-108.023093,46.419873,106,FALSE,1,Iowa.1,Iowa
-105.30022,45.325375,107,FALSE,1,Iowa.1,Iowa
-105.30022,43.071698,108,FALSE,1,Iowa.1,Iowa
-108.023093,41.912567,109,FALSE,1,Iowa.1,Iowa
-110.745967,43.071698,110,FALSE,1,Iowa.1,Iowa
-110.745967,45.325375,111,FALSE,1,Iowa.1,Iowa
-108.023093,46.419873,112,FALSE,1,Iowa.1,Iowa
-108.023093,39.530104,113,FALSE,1,Kansas.1,Kansas
-105.30022,38.307039,114,FALSE,1,Kansas.1,Kansas
-105.30022,35.798214,115,FALSE,1,Kansas.1,Kansas
-108.023093,34.512972,116,FALSE,1,Kansas.1,Kansas
-110.745967,35.798214,117,FALSE,1,Kansas.1,Kansas
-110.745967,38.307039,118,FALSE,1,Kansas.1,Kansas
-108.023093,39.530104,119,FALSE,1,Kansas.1,Kansas
-99.854473,43.071698,120,FALSE,1,Kentucky.1,Kentucky
-97.131599,41.912567,121,FALSE,1,Kentucky.1,Kentucky
-97.131599,39.530104,122,FALSE,1,Kentucky.1,Kentucky
-99.854473,38.307039,123,FALSE,1,Kentucky.1,Kentucky
-102.577346,39.530104,124,FALSE,1,Kentucky.1,Kentucky
-102.577346,41.912567,125,FALSE,1,Kentucky.1,Kentucky
-99.854473,43.071698,126,FALSE,1,Kentucky.1,Kentucky
-105.30022,35.798214,127,FALSE,1,Louisiana.1,Louisiana
-102.577346,34.512972,128,FALSE,1,Louisiana.1,Louisiana
-102.577346,31.882459,129,FALSE,1,Louisiana.1,Louisiana
-105.30022,30.53798,130,FALSE,1,Louisiana.1,Louisiana
-108.023093,31.882459,131,FALSE,1,Louisiana.1,Louisiana
-108.023093,34.512972,132,FALSE,1,Louisiana.1,Louisiana
-105.30022,35.798214,133,FALSE,1,Louisiana.1,Louisiana
-72.625738,55.313204,134,FALSE,1,Maine.1,Maine
-69.902864,54.408434,135,FALSE,1,Maine.1,Maine
-69.902864,52.537442,136,FALSE,1,Maine.1,Maine
-72.625738,51.57081,137,FALSE,1,Maine.1,Maine
-75.348611,52.537442,138,FALSE,1,Maine.1,Maine
-75.348611,54.408434,139,FALSE,1,Maine.1,Maine
-72.625738,55.313204,140,FALSE,1,Maine.1,Maine
-83.517232,43.071698,141,FALSE,1,Maryland.1,Maryland
-80.794358,41.912567,142,FALSE,1,Maryland.1,Maryland
-80.794358,39.530104,143,FALSE,1,Maryland.1,Maryland
-83.517232,38.307039,144,FALSE,1,Maryland.1,Maryland
-86.240105,39.530104,145,FALSE,1,Maryland.1,Maryland
-86.240105,41.912567,146,FALSE,1,Maryland.1,Maryland
-83.517232,43.071698,147,FALSE,1,Maryland.1,Maryland
-78.071485,49.57439,148,FALSE,1,Massachusetts.1,Massachusetts
-75.348611,48.544312,149,FALSE,1,Massachusetts.1,Massachusetts
-75.348611,46.419873,150,FALSE,1,Massachusetts.1,Massachusetts
-78.071485,45.325375,151,FALSE,1,Massachusetts.1,Massachusetts
-80.794358,46.419873,152,FALSE,1,Massachusetts.1,Massachusetts
-80.794358,48.544312,153,FALSE,1,Massachusetts.1,Massachusetts
-78.071485,49.57439,154,FALSE,1,Massachusetts.1,Massachusetts
